Band Number,Mainland.or.Island,Retrap,Date,Wing,Tail,Tarsus,Weight,Ssp,,
NA,Mainland,N,10072022,63,46,16.5,11,Zosterops_lateralis_cornwalli,,
01C35900,Mainland,N,28062022,61,45,16.5,11,Zosterops_lateralis_cornwalli,,
01C35900,Mainland,N,28062022,61,45,16.5,11,Zosterops_lateralis_cornwalli,,
01C01682,Mainland,NA,18052022,60,46,16.5,10.8,Zosterops_lateralis_cornwalli,,
01C01682,Mainland,NA,18052022,60,46,16.5,10.8,Zosterops_lateralis_cornwalli,,
01A31918,Mainland,NA,06032013,60,44,16.5,10,Zosterops lateralis cornwalli,,
no band,Mainland,NA,03061998,62,45,16.45,11.5,Zosterops lateralis cornwalli,,
no band,Mainland,NA,03061998,59.5,42.5,16.45,10,Zosterops lateralis cornwalli,,
01C35962,Mainland,N,11062022,62,48,16.4,12.5,Zosterops_lateralis_cornwalli,,
01C35962,Mainland,N,11062022,62,48,16.4,12.5,Zosterops_lateralis_cornwalli,,
01C01686,Mainland,NA,18052022,56.5,43,16.4,10.5,Zosterops_lateralis_cornwalli,,
01C01686,Mainland,NA,18052022,56.5,43,16.4,10.5,Zosterops_lateralis_cornwalli,,
01C36247,Mainland,N,04072022,58,43,16.4,10.2,Zosterops_lateralis_cornwalli,,
01C36247,Mainland,N,04072022,58,43,16.4,10.2,Zosterops_lateralis_cornwalli,,
01C-39735,Mainland,N,23/07/2022,57,45,16.4,10.1,Zosterops_lateralis_cornwalli,,
01C-39735,Mainland,N,23/07/2022,57,45,16.4,10.1,Zosterops_lateralis_cornwalli,,
NA,Mainland,N,10072022,61,45,16.4,10,Zosterops_lateralis_cornwalli,,
NA,Mainland,N,10072022,61,45,16.4,10,Zosterops_lateralis_cornwalli,,
01A31915,Mainland,NA,06032013,57,43,16.4,10,Zosterops lateralis cornwalli,,
no band,Mainland,NA,03061998,60,42,16.4,9.5,Zosterops lateralis cornwalli,,
no band,Mainland,NA,03061998,58,40,16.4,9.5,Zosterops lateralis cornwalli,,
01A31653,Mainland,NA,12062012,57,42,16.38,10.5,Cornwalli?,,
no band,Mainland,NA,03061998,60,42,16.35,11,Zosterops lateralis cornwalli,,
01A31906,Mainland,NA,15022013,59,46,16.3,11,Zosterops lateralis cornwalli,,
01C01688,Mainland,NA,26052022,58,45,16.3,11,Zosterops_lateralis_cornwalli,,
01C01688,Mainland,NA,26052022,58,45,16.3,11,Zosterops_lateralis_cornwalli,,
01A31912,Mainland,NA,15022013,57,44,16.3,10,Zosterops lateralis cornwalli,,
01C01689,Mainland,NA,26052022,57,42,16.3,10,Zosterops_lateralis_cornwalli,,
01C01689,Mainland,NA,26052022,57,42,16.3,10,Zosterops_lateralis_cornwalli,,
no band,Mainland,NA,03061998,58,40,16.3,10,Zosterops lateralis cornwalli,,
01A31633,Mainland,NA,11062012,54.5,39,16.22,8.5,Cornwalli?,,
2772599,Mainland,NA,23062024,61,45,16.2,12.3,Cornwalli?,,
no band,Mainland,NA,03061998,59,41,16.2,11.5,Zosterops lateralis cornwalli,,
no band,Mainland,NA,03061998,61.5,41,16.2,10.5,Zosterops lateralis cornwalli,,
no band,Mainland,NA,03061998,57,39,16.2,10.5,Zosterops lateralis cornwalli,,
no band,Mainland,NA,03061998,59.5,43,16.2,10,Zosterops lateralis cornwalli,,
01C01687,Mainland,NA,18052022,60,43,16.2,9.7,Zosterops_lateralis_cornwalli,,
01C01687,Mainland,NA,18052022,60,43,16.2,9.7,Zosterops_lateralis_cornwalli,,
01A31683,Mainland,NA,05122012,59,44,16.2,9.00,Zosterops lateralis cornwalli,,
no band,Mainland,NA,03061998,57,40,16.2,8.5,Zosterops lateralis cornwalli,,
NA,Mainland,N,10072022,55,41,16.1,11,Zosterops_lateralis_cornwalli,,
NA,Mainland,N,10072022,55,41,16.1,11,Zosterops_lateralis_cornwalli,,
no band,Mainland,NA,03061998,59,47,16.1,10.5,Zosterops lateralis cornwalli,,
01A31695,Mainland,NA,01022013,60,45,16.1,10.5,Zosterops lateralis cornwalli,,
no band,Mainland,NA,03061998,60,41.5,16.1,10.5,Zosterops lateralis cornwalli,,
01A31652,Mainland,NA,12062012,60.5,44.5,16.1,10,Cornwalli?,,
01A31913,Mainland,NA,15022013,56,44,16.1,10,Zosterops lateralis cornwalli,,
no band,Mainland,NA,03061998,58,42,16.1,10,Zosterops lateralis cornwalli,,
no band,Mainland,NA,03061998,62,44,16.1,9,Zosterops lateralis cornwalli,,
no band,Mainland,NA,03061998,60,43,16.1,9,Zosterops lateralis cornwalli,,
01A31774,Mainland,NA,03122013,60,46,16,11.5,Zosterops lateralis cornwalli,,
01C35970,Mainland,N,11062022,57.5,43,16,10.9,Zosterops_lateralis_cornwalli,,
01C35970,Mainland,N,11062022,57.5,43,16,10.9,Zosterops_lateralis_cornwalli,,
01C35964,Mainland,N,11062022,58,43,16,10.7,Zosterops_lateralis_cornwalli,,
01C35964,Mainland,N,11062022,58,43,16,10.7,Zosterops_lateralis_cornwalli,,
01C35899,Mainland,N,28062022,60,44,16,10.3,Zosterops_lateralis_cornwalli,,
01C35899,Mainland,N,28062022,60,44,16,10.3,Zosterops_lateralis_cornwalli,,
NA,Mainland,N,10072022,61,45,16,10,Zosterops_lateralis_cornwalli,,
NA,Mainland,N,10072022,61,45,16,10,Zosterops_lateralis_cornwalli,,
no band,Mainland,NA,03061998,57.5,37.5,15.95,9.5,Zosterops lateralis cornwalli,,
01A31697,Mainland,NA,05022013,59,43.1,15.9,14,Zosterops lateralis cornwalli,,
01A31613,Mainland,NA,25042012,56.5,43,15.8,10,Zosterops lateralis cornwalli,,
01C-39733,Mainland,N,23/07/2022,57,43,15.8,9.7,Zosterops_lateralis_cornwalli,,
01C-39733,Mainland,N,23/07/2022,57,43,15.8,9.7,Zosterops_lateralis_cornwalli,,
no band,Mainland,NA,03061998,57.5,39,15.8,8.5,Zosterops lateralis cornwalli,,
no band,Mainland,NA,03061998,59,42,15.75,9.5,Zosterops lateralis cornwalli,,
01C35977,Mainland,N,11062022,58,44,15.7,10.6,Zosterops_lateralis_cornwalli,,
01C-35873,Mainland,N,18/06/2022,57,43,15.7,10.1,Zosterops_lateralis_cornwalli,,
01C-35873,Mainland,N,18/06/2022,57,43,15.7,10.1,Zosterops_lateralis_cornwalli,,
no band,Mainland,NA,03061998,60.5,43,15.6,11,Zosterops lateralis cornwalli,,
