Chick ID ,band.n,nest,clutch.size,hatch.date,band.date,day,wing,tail,tarsus,post.cul.length,ant.cul.length,ant.cul.depth,ant.cul.width,digital weight,pin.length,feather.length,feather.total.length,feathered.ratio,Day of pin break ,Mainland or Island,,
R2,12213,36,,,36,4,24.8,,16,,,,,9.5,,,,,,0,,
L1,12211,36,,,36,2,12.4,,11.8,,,,,7,,,,,,0,,
R1,12212,36,,,36,2,8.5,,9.9,,,,,4.5,,,,,,0,,
R2,12213,36,,,36,2,13.7,,12.4,,,,,6.5,,,,,,0,,
L1,12206,42,,,42,8,33,,18.5,,,,,11.5,,,,,,0,,
R1,12205,42,,,42,8,25,,14.5,,,,,7,,,,,,0,,
R2,12204,42,,,42,8,36.3,,18.9,,,,,11.5,,,,,,0,,
L1,12206,42,,,42,6,24.7,,16.4,,,,,10.5,,,,,,0,,
R1,12205,42,,,42,6,17.2,,12.7,,,,,4.5,,,,,,0,,
R2,12204,42,,,42,6,29.5,,17.1,,,,,10.5,,,,,,0,,
L1,12206,42,,,42,4,14.5,,12.7,,,,,6.5,,,,,,0,,
R1,12205,42,,,42,4,10.7,,9.7,,,,,4.5,,,,,,0,,
R2,12204,42,,,42,4,17.5,,13.5,,,,,7.5,,,,,,0,,
L1,12206,42,,,42,2,7.4,,8.4,,,,,4.5,,,,,,0,,
R1,12205,42,,,42,2,5.6,,6.9,,,,,2.5,,,,,,0,,
R2,12204,42,,,42,2,8.1,,9.3,,,,,4,,,,,,0,,
L1,12210,43,,,43,6,29.3,,18.1,,,,,11,,,,,,0,,
R1,12209,43,,,43,6,30.1,,18.3,,,,,10,,,,,,0,,
L1,12210,43,,,43,4,19,,14.3,,,,,8,,,,,,0,,
R1,12209,43,,,43,4,21.5,,15.5,,,,,7.5,,,,,,0,,
L1,12210,43,,,43,2,9.5,,10,,,,,5.5,,,,,,0,,
R1,12209,43,,,43,2,11.4,,11.6,,,,,5,,,,,,0,,
R1,NA,49,,,49,4,12,,11.3,,,,,4,,,,,,0,,
R1,NA,49,,,49,2,7.9,,9.8,,,,,4,,,,,,0,,
L1,NA,57,,,57,4,11.7,,11.1,,,,,4.5,,,,,,0,,
R1,NA,57,,,57,4,18,,14.2,,,,,8,,,,,,0,,
R2,NA,57,,,57,4,10.1,,10.7,,,,,5,,,,,,0,,
L1,NA,57,,,57,2,5.9,,7.7,,,,,3,,,,,,0,,
R1,NA,57,,,57,2,9,,10,,,,,4.5,,,,,,0,,
